id,word_id,form,grammar,person,tense
1,47,am,present,I,şimdi
2,47,are,present,you,şimdi
3,47,is,present,he/she,şimdi
4,47,are,present,we,şimdi
5,47,are,present,you (pl),şimdi
6,47,are,present,they,şimdi
7,47,was,past,I,di
8,47,were,past,you,di
9,47,was,past,he/she,di
10,47,were,past,we,di
11,47,were,past,you (pl),di
12,47,were,past,they,di
13,47,will be,future,I,gelecek
14,47,will be,future,you,gelecek
15,47,will be,future,he/she,gelecek
16,47,will be,future,we,gelecek
17,47,will be,future,you (pl),gelecek
18,47,will be,future,they,gelecek
19,148,buy,present,I,şimdi
20,148,buy,present,you,şimdi
21,148,buys,present,he/she,şimdi
22,148,buy,present,we,şimdi
23,148,buy,present,you (pl),şimdi
24,148,buy,present,they,şimdi
25,148,bought,past,I,di
26,148,bought,past,you,di
27,148,bought,past,he/she,di
28,148,bought,past,we,di
29,148,bought,past,you (pl),di
30,148,bought,past,they,di
31,148,will buy,future,I,gelecek
32,148,will buy,future,you,gelecek
33,148,will buy,future,he/she,gelecek
34,148,will buy,future,we,gelecek
35,148,will buy,future,you (pl),gelecek
36,148,will buy,future,they,gelecek
37,149,sell,present,I,şimdi
38,149,sell,present,you,şimdi
39,149,sells,present,he/she,şimdi
40,149,sell,present,we,şimdi
41,149,sell,present,you (pl),şimdi
42,149,sell,present,they,şimdi
43,149,sold,past,I,di
44,149,sold,past,you,di
45,149,sold,past,he/she,di
46,149,sold,past,we,di
47,149,sold,past,you (pl),di
48,149,sold,past,they,di
49,149,will sell,future,I,gelecek
50,149,will sell,future,you,gelecek
51,149,will sell,future,he/she,gelecek
52,149,will sell,future,we,gelecek
53,149,will sell,future,you (pl),gelecek
54,149,will sell,future,they,gelecek
55,150,have,present,I,şimdi
56,150,have,present,you,şimdi
57,150,has,present,he/she,şimdi
58,150,have,present,we,şimdi
59,150,have,present,you (pl),şimdi
60,150,have,present,they,şimdi
61,150,had,past,I,di
62,150,had,past,you,di
63,150,had,past,he/she,di
64,150,had,past,we,di
65,150,had,past,you (pl),di
66,150,had,past,they,di
67,150,will have,future,I,gelecek
68,150,will have,future,you,gelecek
69,150,will have,future,he/she,gelecek
70,150,will have,future,we,gelecek
71,150,will have,future,you (pl),gelecek
72,150,will have,future,they,gelecek
73,151,need,present,I,şimdi
74,151,need,present,you,şimdi
75,151,needs,present,he/she,şimdi
76,151,need,present,we,şimdi
77,151,need,present,you (pl),şimdi
78,151,need,present,they,şimdi
79,151,needed,past,I,di
80,151,needed,past,you,di
81,151,needed,past,he/she,di
82,151,needed,past,we,di
83,151,needed,past,you (pl),di
84,151,needed,past,they,di
85,151,will need,future,I,gelecek
86,151,will need,future,you,gelecek
87,151,will need,future,he/she,gelecek
88,151,will need,future,we,gelecek
89,151,will need,future,you (pl),gelecek
90,151,will need,future,they,gelecek
91,152,want,present,I,şimdi
92,152,want,present,you,şimdi
93,152,wants,present,he/she,şimdi
94,152,want,present,we,şimdi
95,152,want,present,you (pl),şimdi
96,152,want,present,they,şimdi
97,152,wanted,past,I,di
98,152,wanted,past,you,di
99,152,wanted,past,he/she,di
100,152,wanted,past,we,di
101,152,wanted,past,you (pl),di
102,152,wanted,past,they,di
103,152,will want,future,I,gelecek
104,152,will want,future,you,gelecek
105,152,will want,future,he/she,gelecek
106,152,will want,future,we,gelecek
107,152,will want,future,you (pl),gelecek
108,152,will want,future,they,gelecek
109,153,open,present,I,şimdi
110,153,open,present,you,şimdi
111,153,opens,present,he/she,şimdi
112,153,open,present,we,şimdi
113,153,open,present,you (pl),şimdi
114,153,open,present,they,şimdi
115,153,opened,past,I,di
116,153,opened,past,you,di
117,153,opened,past,he/she,di
118,153,opened,past,we,di
119,153,opened,past,you (pl),di
120,153,opened,past,they,di
121,153,will open,future,I,gelecek
122,153,will open,future,you,gelecek
123,153,will open,future,he/she,gelecek
124,153,will open,future,we,gelecek
125,153,will open,future,you (pl),gelecek
126,153,will open,future,they,gelecek
127,154,close,present,I,şimdi
128,154,close,present,you,şimdi
129,154,closes,present,he/she,şimdi
130,154,close,present,we,şimdi
131,154,close,present,you (pl),şimdi
132,154,close,present,they,şimdi
133,154,closed,past,I,di
134,154,closed,past,you,di
135,154,closed,past,he/she,di
136,154,closed,past,we,di
137,154,closed,past,you (pl),di
138,154,closed,past,they,di
139,154,will close,future,I,gelecek
140,154,will close,future,you,gelecek
141,154,will close,future,he/she,gelecek
142,154,will close,future,we,gelecek
143,154,will close,future,you (pl),gelecek
144,154,will close,future,they,gelecek
145,155,look,present,I,şimdi
146,155,look,present,you,şimdi
147,155,looks,present,he/she,şimdi
148,155,look,present,we,şimdi
149,155,look,present,you (pl),şimdi
150,155,look,present,they,şimdi
151,155,looked,past,I,di
152,155,looked,past,you,di
153,155,looked,past,he/she,di
154,155,looked,past,we,di
155,155,looked,past,you (pl),di
156,155,looked,past,they,di
157,155,will look,future,I,gelecek
158,155,will look,future,you,gelecek
159,155,will look,future,he/she,gelecek
160,155,will look,future,we,gelecek
161,155,will look,future,you (pl),gelecek
162,155,will look,future,they,gelecek
163,156,listen,present,I,şimdi
164,156,listen,present,you,şimdi
165,156,listens,present,he/she,şimdi
166,156,listen,present,we,şimdi
167,156,listen,present,you (pl),şimdi
168,156,listen,present,they,şimdi
169,156,listened,past,I,di
170,156,listened,past,you,di
171,156,listened,past,he/she,di
172,156,listened,past,we,di
173,156,listened,past,you (pl),di
174,156,listened,past,they,di
175,156,will listen,future,I,gelecek
176,156,will listen,future,you,gelecek
177,156,will listen,future,he/she,gelecek
178,156,will listen,future,we,gelecek
179,156,will listen,future,you (pl),gelecek
180,156,will listen,future,they,gelecek
181,157,read,present,I,şimdi
182,157,read,present,you,şimdi
183,157,reads,present,he/she,şimdi
184,157,read,present,we,şimdi
185,157,read,present,you (pl),şimdi
186,157,read,present,they,şimdi
187,157,read,past,I,di
188,157,read,past,you,di
189,157,read,past,he/she,di
190,157,read,past,we,di
191,157,read,past,you (pl),di
192,157,read,past,they,di
193,157,will read,future,I,gelecek
194,157,will read,future,you,gelecek
195,157,will read,future,he/she,gelecek
196,157,will read,future,we,gelecek
197,157,will read,future,you (pl),gelecek
198,157,will read,future,they,gelecek
199,158,write,present,I,şimdi
200,158,write,present,you,şimdi
201,158,writes,present,he/she,şimdi
202,158,write,present,we,şimdi
203,158,write,present,you (pl),şimdi
204,158,write,present,they,şimdi
205,158,wrote,past,I,di
206,158,wrote,past,you,di
207,158,wrote,past,he/she,di
208,158,wrote,past,we,di
209,158,wrote,past,you (pl),di
210,158,wrote,past,they,di
211,158,will write,future,I,gelecek
212,158,will write,future,you,gelecek
213,158,will write,future,he/she,gelecek
214,158,will write,future,we,gelecek
215,158,will write,future,you (pl),gelecek
216,158,will write,future,they,gelecek
217,159,speak,present,I,şimdi
218,159,speak,present,you,şimdi
219,159,speaks,present,he/she,şimdi
220,159,speak,present,we,şimdi
221,159,speak,present,you (pl),şimdi
222,159,speak,present,they,şimdi
223,159,spoke,past,I,di
224,159,spoke,past,you,di
225,159,spoke,past,he/she,di
226,159,spoke,past,we,di
227,159,spoke,past,you (pl),di
228,159,spoke,past,they,di
229,159,will speak,future,I,gelecek
230,159,will speak,future,you,gelecek
231,159,will speak,future,he/she,gelecek
232,159,will speak,future,we,gelecek
233,159,will speak,future,you (pl),gelecek
234,159,will speak,future,they,gelecek
235,233,eat,present,I,şimdi
236,233,eat,present,you,şimdi
237,233,eats,present,he/she,şimdi
238,233,eat,present,we,şimdi
239,233,eat,present,you (pl),şimdi
