id,Слово,Перевод,Тип,Курс,Урок
1,hello,привет,KALIP İFADELER,A1,FILE1
2,hi,привет,KALIP İFADELER,A1,FILE1
3,goodbye,до свидания,KALIP İFADELER,A1,FILE1
4,bye,пока,KALIP İFADELER,A1,FILE1
5,please,пожалуйста,KALIP İFADELER,A1,FILE1
6,thank you,спасибо,KALIP İFADELER,A1,FILE1
7,thanks,спасибо,KALIP İFADELER,A1,FILE1
8,yes,да,DİĞER KELİMELER,A1,FILE1
9,no,нет,DİĞER KELİMELER,A1,FILE1
10,sorry,извините,KALIP İFADELER,A1,FILE1
11,excuse me,извините (привлечь внимание),KALIP İFADELER,A1,FILE1
12,name,имя,İSİMLER,A1,FILE1
13,number,"число, номер",İSİMLER,A1,FILE1
14,zero,ноль,İSİMLER,A1,FILE1
15,one,один,İSİMLER,A1,FILE1
16,two,два,İSİMLER,A1,FILE1
17,three,три,İSİMLER,A1,FILE1
18,four,четыре,İSİMLER,A1,FILE1
19,five,пять,İSİMLER,A1,FILE1
20,six,шесть,İSİMLER,A1,FILE1
21,seven,семь,İSİMLER,A1,FILE1
22,eight,восемь,İSİMLER,A1,FILE1
23,nine,девять,İSİMLER,A1,FILE1
24,ten,десять,İSİMLER,A1,FILE1
25,day,день,İSİMLER,A1,FILE1
26,week,неделя,İSİMLER,A1,FILE1
27,Monday,понедельник,İSİMLER,A1,FILE1
28,Tuesday,вторник,İSİMLER,A1,FILE1
29,Wednesday,среда,İSİMLER,A1,FILE1
30,Thursday,четверг,İSİMLER,A1,FILE1
31,Friday,пятница,İSİMLER,A1,FILE1
32,Saturday,суббота,İSİMLER,A1,FILE1
33,Sunday,воскресенье,İSİMLER,A1,FILE1
34,country,страна,İSİMLER,A1,FILE1
35,England,Англия,İSİMLER,A1,FILE1
36,the USA,США,İSİMLER,A1,FILE1
37,Spain,Испания,İSİMLER,A1,FILE1
38,France,Франция,İSİMLER,A1,FILE1
39,Germany,Германия,İSİMLER,A1,FILE1
40,Italy,Италия,İSİMLER,A1,FILE1
41,Russia,Россия,İSİMLER,A1,FILE1
42,China,Китай,İSİMLER,A1,FILE1
43,Japan,Япония,İSİMLER,A1,FILE1
44,Brazil,Бразилия,İSİMLER,A1,FILE1
45,Mexico,Мексика,İSİMLER,A1,FILE1
46,Turkey,Турция,İSİMLER,A1,FILE1
47,be,быть,FİİLLER,A1,FILE1
48,I,я,ZAMİRLER,A1,FILE1
49,you,"ты, вы",ZAMİRLER,A1,FILE1
50,he,он,ZAMİRLER,A1,FILE1
51,she,она,ZAMİRLER,A1,FILE1
52,it,"оно, это",ZAMİRLER,A1,FILE1
53,and,и,EDATLAR / BAĞLAÇLAR,A1,FILE1
54,from,"из, от",EDATLAR / BAĞLAÇLAR,A1,FILE1
55,what,"что, какой",ZAMİRLER,A1,FILE1
56,where,где,ZAMİRLER,A1,FILE1
57,how,как,ZAMİRLER,A1,FILE1
58,cappuccino,капучино,İSİMLER,A1,FILE1
59,coffee,кофе,İSİMLER,A1,FILE1
60,tea,чай,İSİMLER,A1,FILE1
61,water,вода,İSİMLER,A1,FILE1
62,hotel,отель,İSİMLER,A1,FILE1
63,table,стол,İSİMLER,A1,FILE1
64,we,мы,ZAMİRLER,A1,FILE2
65,they,они,ZAMİRLER,A1,FILE2
66,nationality,национальность,İSİMLER,A1,FILE2
67,British,британский,SIFATLAR,A1,FILE2
68,American,американский,SIFATLAR,A1,FILE2
69,Spanish,испанский,SIFATLAR,A1,FILE2
70,French,французский,SIFATLAR,A1,FILE2
71,German,немецкий,SIFATLAR,A1,FILE2
72,Italian,итальянский,SIFATLAR,A1,FILE2
73,Russian,русский,SIFATLAR,A1,FILE2
74,Chinese,китайский,SIFATLAR,A1,FILE2
75,Japanese,японский,SIFATLAR,A1,FILE2
76,holiday,"отпуск, праздник",İSİMLER,A1,FILE2
77,tourist,турист,İSİMLER,A1,FILE2
78,city,город,İSİMLER,A1,FILE2
79,bus,автобус,İSİMLER,A1,FILE2
80,phone,телефон,İSİMLER,A1,FILE2
81,phone number,номер телефона,İSİMLER,A1,FILE2
82,eleven,одиннадцать,İSİMLER,A1,FILE2
83,twelve,двенадцать,İSİMLER,A1,FILE2
84,thirteen,тринадцать,İSİMLER,A1,FILE2
85,twenty,двадцать,İSİMLER,A1,FILE2
86,thirty,тридцать,İSİMLER,A1,FILE2
87,forty,сорок,İSİMLER,A1,FILE2
88,fifty,пятьдесят,İSİMLER,A1,FILE2
89,hundred,сто,İSİMLER,A1,FILE2
90,question,вопрос,İSİMLER,A1,FILE2
91,answer,ответ,İSİMLER,A1,FILE2
92,who,кто,ZAMİRLER,A1,FILE2
93,why,почему,ZAMİRLER,A1,FILE2
94,when,когда,ZAMİRLER,A1,FILE2
95,our,наш,SIFATLAR,A1,FILE2
96,their,их,SIFATLAR,A1,FILE2
97,my,мой,SIFATLAR,A1,FILE2
98,your,"твой, ваш",SIFATLAR,A1,FILE2
99,his,его,SIFATLAR,A1,FILE2
100,her,её,SIFATLAR,A1,FILE2
101,its,"его, её (неодуш.)",SIFATLAR,A1,FILE2
102,classroom,"класс, аудитория",İSİMLER,A1,FILE2
103,teacher,учитель,İSİMLER,A1,FILE2
104,student,"студент, ученик",İSİMLER,A1,FILE2
105,pen,ручка,İSİMLER,A1,FILE2
106,pencil,карандаш,İSİMLER,A1,FILE2
107,book,книга,İSİMLER,A1,FILE2
108,bag,сумка,İSİMLER,A1,FILE2
109,chair,стул,İSİMLER,A1,FILE2
110,door,дверь,İSİMLER,A1,FILE2
