id,Слово,Перевод,Тип,Курс,Урок
7,arkadaş,"друг, приятель, товарищ",İSİMLER,A1,UNITE1
5,anneler günü,день матери,İSİMLER,A1,UNITE1
2796,Afrika,Африка,İSİMLER,A1,UNITE1
543,ağustos,август,İSİMLER,A1,UNITE1
198,akşam,вечер,İSİMLER,A1,UNITE1
2797,aktör,актёр,İSİMLER,A1,UNITE1
3,alkol,алкоголь,İSİMLER,A1,UNITE1
2798,Alman,"немец, немецкий",İSİMLER,A1,UNITE1
4,Almanya,Германия,İSİMLER,A1,UNITE1
2799,Amerika,Америка,İSİMLER,A1,UNITE1
6,araba,"машина, автомобиль",İSİMLER,A1,UNITE1
547,aralık,декабрь,İSİMLER,A1,UNITE1
2800,Arap,"араб, арабский",İSİMLER,A1,UNITE1
2801,Arnavut,"албанец, албанский",İSİMLER,A1,UNITE1
2802,Arnavutluk,Албания,İSİMLER,A1,UNITE1
2803,Asya,Азия,İSİMLER,A1,UNITE1
1009,Avrupa,Европа,İSİMLER,A1,UNITE1
8,avukat,адвокат,İSİMLER,A1,UNITE1
2804,Avustralya,Австралия,İSİMLER,A1,UNITE1
9,Avusturya,Австрия,İSİMLER,A1,UNITE1
10,az,"мало, немного",İSİMLER,A1,UNITE1
11,baba,"отец, папа",İSİMLER,A1,UNITE1
12,bahçe,сад,İSİMLER,A1,UNITE1
13,balık,рыба,İSİMLER,A1,UNITE1
2805,balkon,балкон,İSİMLER,A1,UNITE1
14,banka,банк,İSİMLER,A1,UNITE1
2806,banyo,"ванна, ванная комната",İSİMLER,A1,UNITE1
15,bardak,стакан,İSİMLER,A1,UNITE1
16,bay,господин,İSİMLER,A1,UNITE1
17,bayan,госпожа,İSİMLER,A1,UNITE1
18,bayram,праздник,İSİMLER,A1,UNITE1
19,bebek,"малыш, ребенок",İSİMLER,A1,UNITE1
20,bey,господин,İSİMLER,A1,UNITE1
728,beyaz,белый,İSİMLER,A1,UNITE1
21,bilet,билет,İSİMLER,A1,UNITE1
22,bilgisayar,компьютер,İSİMLER,A1,UNITE1
23,bulaşık,посуда,İSİMLER,A1,UNITE1
24,büro,"офис, бюро",İSİMLER,A1,UNITE1
25,büyük,большой,İSİMLER,A1,UNITE1
26,cami,мечеть,İSİMLER,A1,UNITE1
27,cetvel,линейка,İSİMLER,A1,UNITE1
352,cevap,ответ,İSİMLER,A1,UNITE1
28,ceviz,орех,İSİMLER,A1,UNITE1
556,cuma,пятница,İSİMLER,A1,UNITE1
557,cumartesi,суббота,İSİMLER,A1,UNITE1
2807,çalışma odası,кабинет,İSİMLER,A1,UNITE1
29,çamaşır,бельё,İSİMLER,A1,UNITE1
2808,çamaşır odası,прачечная,İSİMLER,A1,UNITE1
30,çanta,сумка,İSİMLER,A1,UNITE1
558,çarşamba,среда,İSİMLER,A1,UNITE1
31,çarşı,"базар, рынок",İSİMLER,A1,UNITE1
34,Çin,Китай,İSİMLER,A1,UNITE1
2809,Çinli,"китаец, китайский",İSİMLER,A1,UNITE1
33,çiçek,цветок,İSİMLER,A1,UNITE1
35,çocuk,ребёнок,İSİMLER,A1,UNITE1
2810,çocuk odası,детская комната,İSİMLER,A1,UNITE1
36,çok,много,İSİMLER,A1,UNITE1
37,defter,тетрадь,İSİMLER,A1,UNITE1
38,deniz,море,İSİMLER,A1,UNITE1
39,ders,урок,İSİMLER,A1,UNITE1
41,doktor,"врач, доктор",İSİMLER,A1,UNITE1
42,dolap,шкаф,İSİMLER,A1,UNITE1
40,doğum günü,день рождения,İSİMLER,A1,UNITE1
43,düğün,свадьба,İSİMLER,A1,UNITE1
44,eczane,аптека,İSİMLER,A1,UNITE1
570,ekim,октябрь,İSİMLER,A1,UNITE1
45,ekmek,хлеб,İSİMLER,A1,UNITE1
46,elbise,платье,İSİMLER,A1,UNITE1
47,elma,яблоко,İSİMLER,A1,UNITE1
48,erkek,мужчина,İSİMLER,A1,UNITE1
49,ev,дом,İSİMLER,A1,UNITE1
572,eylül,сентябрь,İSİMLER,A1,UNITE1
50,fare,мышь,İSİMLER,A1,UNITE1
51,fındık,фундук,İSİMLER,A1,UNITE1
53,film,фильм,İSİMLER,A1,UNITE1
52,fırça,"щётка, кисть",İSİMLER,A1,UNITE1
2811,fincan,чашка,İSİMLER,A1,UNITE1
54,Fransa,Франция,İSİMLER,A1,UNITE1
55,futbolcu,футболист,İSİMLER,A1,UNITE1
2812,garaj,гараж,İSİMLER,A1,UNITE1
56,garson,официант,İSİMLER,A1,UNITE1
57,göz,глаз,İSİMLER,A1,UNITE1
2813,gri,серый,İSİMLER,A1,UNITE1
58,gül,роза,İSİMLER,A1,UNITE1
2814,Güney Amerika,Южная Америка,İSİMLER,A1,UNITE1
59,güzel,"красивый, красавица",İSİMLER,A1,UNITE1
60,hâl,состояние,İSİMLER,A1,UNITE1
61,halı,ковёр,İSİMLER,A1,UNITE1
62,hanım,госпожа,İSİMLER,A1,UNITE1
63,hastalık,болезнь,İSİMLER,A1,UNITE1
64,havuç,морковь,İSİMLER,A1,UNITE1
65,hayal,мечта,İSİMLER,A1,UNITE1
579,haziran,июнь,İSİMLER,A1,UNITE1
